employee_id,name,age,gender,department,jobrole,education,maritalstatus,monthlyincome,yearsatcompany,overtime,performancerating,attrition,dateofhire,dateofexit
6594,Kristin Gonzalez,38.0,Female,Hr,Manager,Bachelor,Married,14580.0,11,No,5,No,2016-10-11,
8168,John English Jr.,49.0,Male,Hr,Technician,Master,Divorced,5936.0,5,No,4,No,,
1207,Eric Miranda,25.0,Male,R&D,Executive,Bachelor,Single,13224.0,2,No,5,No,2025-07-08,
8025,Alexis Curtis,47.0,Male,It,Executive,Bachelor,Divorced,3281.0,3,No,3,Yes,,2017-11-14
2219,Barry Robinson,34.0,Female,Sales,Consultant,Phd,Divorced,5728.0,3,No,1,Yes,2015-05-02,
3534,Stacy Woods,49.0,Male,It,Engineer,Master,Divorced,6711.0,6,No,4,Yes,,2020-11-26
5094,Phillip Bryant,20.0,Male,Finance,Engineer,Bachelor,Single,4259.0,6,No,4,No,2016-11-08,
9986,Mary Brown,49.0,Female,It,Analyst,Phd,Divorced,9476.0,3,Yes,5,No,,
8009,Walter Oliver,57.0,Male,Hr,Executive,Master,Single,13293.0,12,Yes,1,No,,
4837,Andrea Powell,25.0,Female,Sales,Analyst,Phd,Married,5263.0,5,No,3,No,2020-07-12,
9778,Bryan Weber,53.0,Female,Hr,Technician,Bachelor,Divorced,10806.0,13,No,3,Yes,,
4261,Sara Shannon,48.0,Male,It,Consultant,Master,Married,13062.0,12,Yes,3,No,2012-01-07,2024-07-01
5783,Ms. Carol Maldonado DVM,57.0,Male,Sales,Manager,High School,Married,8088.0,4,Yes,2,No,,
7206,Sheri Perez,40.0,Female,Sales,Manager,Master,Single,4304.0,6,No,4,No,,
3366,Thomas Garcia,42.0,Female,Hr,Analyst,High School,Single,13970.0,14,No,4,No,,
3920,Jacob Campbell,26.0,Female,R&D,Manager,High School,Married,11233.0,7,No,3,Yes,,
7885,Connor Carter,58.0,Female,Finance,Manager,High School,Married,8684.0,9,Yes,3,Yes,,2020-08-16
9821,Richard Castaneda,57.0,Female,R&D,Executive,Phd,Divorced,13078.0,4,Yes,2,Yes,,
9348,Brian Stewart,24.0,Male,R&D,Executive,Phd,Single,13920.0,7,No,3,Yes,,
3122,Matthew Williams,57.0,Female,Finance,Engineer,Bachelor,Divorced,12773.0,3,Yes,1,No,,
1974,Jake Ryan,53.0,Female,It,Technician,Phd,Single,5856.0,1,No,3,No,,
7974,Steven Jones,36.0,Female,R&D,Technician,Master,Divorced,3624.0,9,Yes,3,No,,
6604,Thomas Lucas,20.0,Female,Sales,Consultant,Bachelor,Single,6260.0,4,Yes,1,Yes,,
3759,Arthur Chen,50.0,Female,It,Technician,High School,Divorced,5723.0,13,No,3,Yes,,
9561,Kelly Whitney,36.0,Male,Sales,Technician,Phd,Single,5670.0,3,Yes,3,No,,
6118,Christopher Young,20.0,Male,Finance,Manager,High School,Single,8733.0,11,No,3,No,,
3667,Roger Cowan,52.0,Male,Finance,Engineer,Master,Single,4077.0,11,Yes,3,Yes,,
